status,start,end,actual_max,peak_time,alarm_start,duration_intervals,overlapping_alarm_count,missed_reason
TP,2021-06-18 10:00:00,2021-06-18 10:00:00,186.0,2021-06-18 10:00:00,2021-06-18 08:15:00,1,1.0,
FN,2021-06-18 10:30:00,2021-06-18 10:30:00,179.0,2021-06-18 10:30:00,,1,1.0,one_to_one_assignment
TP,2021-06-18 11:30:00,2021-06-18 11:45:00,185.0,2021-06-18 11:30:00,2021-06-18 10:30:00,2,1.0,
TP,2021-06-18 13:30:00,2021-06-18 13:30:00,180.0,2021-06-18 13:30:00,2021-06-18 13:15:00,1,1.0,
TP,2021-06-21 08:30:00,2021-06-21 10:00:00,208.0,2021-06-21 08:45:00,2021-06-21 08:30:00,7,1.0,
TP,2021-06-21 10:30:00,2021-06-21 11:00:00,202.0,2021-06-21 10:30:00,2021-06-21 10:30:00,3,1.0,
FN,2021-06-21 11:45:00,2021-06-21 12:00:00,191.0,2021-06-21 11:45:00,,2,1.0,one_to_one_assignment
TP,2021-06-21 13:15:00,2021-06-21 15:00:00,201.0,2021-06-21 14:45:00,2021-06-21 13:15:00,8,1.0,
TP,2021-06-21 15:45:00,2021-06-21 15:45:00,184.0,2021-06-21 15:45:00,2021-06-21 15:30:00,1,1.0,
TP,2021-06-22 09:00:00,2021-06-22 09:00:00,178.0,2021-06-22 09:00:00,2021-06-22 08:15:00,1,1.0,
TP,2021-06-22 10:45:00,2021-06-22 11:00:00,189.0,2021-06-22 10:45:00,2021-06-22 10:30:00,2,1.0,
FN,2021-06-22 11:45:00,2021-06-22 11:45:00,180.0,2021-06-22 11:45:00,,1,1.0,one_to_one_assignment
TP,2021-06-22 14:00:00,2021-06-22 14:00:00,186.0,2021-06-22 14:00:00,2021-06-22 13:15:00,1,1.0,
TP,2021-06-24 08:30:00,2021-06-24 09:00:00,188.0,2021-06-24 08:30:00,2021-06-24 08:30:00,3,1.0,
TP,2021-06-24 13:45:00,2021-06-24 14:00:00,190.0,2021-06-24 14:00:00,2021-06-24 13:45:00,2,1.0,
FN,2021-06-24 16:00:00,2021-06-24 16:00:00,180.0,2021-06-24 16:00:00,,1,0.0,no_overlap
TP,2021-06-25 09:45:00,2021-06-25 09:45:00,178.0,2021-06-25 09:45:00,2021-06-25 08:30:00,1,1.0,
TP,2021-06-25 10:45:00,2021-06-25 11:15:00,184.0,2021-06-25 11:15:00,2021-06-25 10:30:00,3,1.0,
FN,2021-06-25 12:00:00,2021-06-25 12:00:00,183.0,2021-06-25 12:00:00,,1,1.0,one_to_one_assignment
TP,2021-06-25 13:15:00,2021-06-25 13:30:00,185.0,2021-06-25 13:15:00,2021-06-25 13:15:00,2,1.0,
FN,2021-06-25 14:15:00,2021-06-25 14:15:00,184.0,2021-06-25 14:15:00,,1,1.0,one_to_one_assignment
FN,2021-06-25 15:00:00,2021-06-25 15:00:00,178.0,2021-06-25 15:00:00,,1,1.0,one_to_one_assignment
TP,2021-06-25 15:30:00,2021-06-25 16:00:00,186.0,2021-06-25 15:45:00,2021-06-25 15:30:00,3,1.0,
TP,2021-06-25 18:00:00,2021-06-25 18:00:00,180.0,2021-06-25 18:00:00,2021-06-25 18:00:00,1,1.0,
FN,2021-07-08 09:00:00,2021-07-08 09:00:00,187.0,2021-07-08 09:00:00,,1,1.0,one_to_one_assignment
TP,2021-07-08 09:30:00,2021-07-08 10:00:00,186.0,2021-07-08 09:30:00,2021-07-08 08:15:00,3,1.0,
TP,2021-07-08 10:30:00,2021-07-08 12:00:00,201.0,2021-07-08 11:00:00,2021-07-08 10:30:00,7,1.0,
TP,2021-07-08 13:30:00,2021-07-08 14:45:00,201.0,2021-07-08 13:45:00,2021-07-08 13:15:00,6,1.0,
TP,2021-07-08 16:00:00,2021-07-08 16:45:00,186.0,2021-07-08 16:45:00,2021-07-08 15:30:00,4,1.0,
TP,2021-07-09 08:45:00,2021-07-09 09:00:00,188.0,2021-07-09 08:45:00,2021-07-09 08:15:00,2,1.0,
FN,2021-07-09 11:00:00,2021-07-09 11:00:00,176.0,2021-07-09 11:00:00,,1,1.0,one_to_one_assignment
FN,2021-07-09 11:45:00,2021-07-09 11:45:00,176.0,2021-07-09 11:45:00,,1,1.0,one_to_one_assignment
FN,2021-07-09 13:30:00,2021-07-09 13:45:00,186.0,2021-07-09 13:30:00,,2,1.0,one_to_one_assignment
TP,2021-07-09 14:30:00,2021-07-09 15:00:00,192.0,2021-07-09 15:00:00,2021-07-09 13:15:00,3,1.0,
TP,2021-07-09 15:45:00,2021-07-09 16:15:00,188.0,2021-07-09 16:00:00,2021-07-09 15:45:00,3,1.0,
TP,2021-07-12 08:30:00,2021-07-12 10:00:00,198.0,2021-07-12 08:45:00,2021-07-12 08:30:00,7,1.0,
TP,2021-07-12 10:30:00,2021-07-12 12:00:00,188.0,2021-07-12 11:15:00,2021-07-12 10:30:00,7,1.0,
FN,2021-07-12 13:45:00,2021-07-12 13:45:00,178.0,2021-07-12 13:45:00,,1,1.0,one_to_one_assignment
TP,2021-07-12 14:15:00,2021-07-12 15:00:00,190.0,2021-07-12 15:00:00,2021-07-12 13:15:00,4,1.0,
TP,2021-07-12 15:45:00,2021-07-12 16:15:00,188.0,2021-07-12 16:00:00,2021-07-12 15:45:00,3,1.0,
FN,2021-07-12 16:45:00,2021-07-12 17:00:00,177.0,2021-07-12 16:45:00,,2,1.0,one_to_one_assignment
TP,2021-07-23 08:30:00,2021-07-23 10:00:00,202.0,2021-07-23 08:30:00,2021-07-23 08:15:00,7,1.0,
FN,2021-07-23 10:30:00,2021-07-23 12:00:00,199.0,2021-07-23 11:45:00,,7,1.0,one_to_one_assignment
TP,2021-07-23 13:30:00,2021-07-23 15:00:00,192.0,2021-07-23 13:30:00,2021-07-23 13:15:00,7,1.0,
TP,2021-07-23 15:45:00,2021-07-23 17:00:00,206.0,2021-07-23 16:00:00,2021-07-23 15:45:00,6,1.0,
TP,2021-07-23 18:00:00,2021-07-23 18:00:00,178.0,2021-07-23 18:00:00,2021-07-23 17:45:00,1,1.0,
FN,2021-07-23 19:00:00,2021-07-23 19:00:00,176.0,2021-07-23 19:00:00,,1,1.0,one_to_one_assignment
TP,2021-07-26 08:15:00,2021-07-26 10:00:00,217.0,2021-07-26 08:30:00,2021-07-26 08:15:00,8,1.0,
FN,2021-07-26 10:30:00,2021-07-26 12:00:00,207.0,2021-07-26 11:00:00,,7,1.0,one_to_one_assignment
FN,2021-07-26 13:30:00,2021-07-26 13:45:00,180.0,2021-07-26 13:45:00,,2,1.0,one_to_one_assignment
TP,2021-07-26 14:15:00,2021-07-26 15:00:00,199.0,2021-07-26 14:45:00,2021-07-26 13:15:00,4,1.0,
TP,2021-07-26 15:45:00,2021-07-26 16:00:00,180.0,2021-07-26 15:45:00,2021-07-26 15:45:00,2,1.0,
FN,2021-07-26 16:45:00,2021-07-26 16:45:00,177.0,2021-07-26 16:45:00,,1,1.0,one_to_one_assignment
TP,2021-07-26 18:15:00,2021-07-26 18:30:00,186.0,2021-07-26 18:15:00,2021-07-26 17:45:00,2,1.0,
FN,2021-07-26 19:30:00,2021-07-26 19:30:00,177.0,2021-07-26 19:30:00,,1,1.0,one_to_one_assignment
FN,2021-07-27 08:15:00,2021-07-27 09:00:00,207.0,2021-07-27 08:30:00,,4,1.0,one_to_one_assignment
FN,2021-07-27 09:45:00,2021-07-27 10:00:00,192.0,2021-07-27 10:00:00,,2,1.0,one_to_one_assignment
TP,2021-07-27 10:30:00,2021-07-27 12:00:00,211.0,2021-07-27 11:45:00,2021-07-27 08:15:00,7,1.0,
TP,2021-07-27 13:30:00,2021-07-27 15:00:00,199.0,2021-07-27 14:45:00,2021-07-27 13:15:00,7,1.0,
FN,2021-07-27 15:45:00,2021-07-27 17:00:00,201.0,2021-07-27 16:00:00,,6,1.0,one_to_one_assignment
TP,2021-07-27 18:00:00,2021-07-27 18:00:00,184.0,2021-07-27 18:00:00,2021-07-27 17:45:00,1,1.0,
FN,2021-07-27 19:45:00,2021-07-27 19:45:00,180.0,2021-07-27 19:45:00,,1,1.0,one_to_one_assignment
TP,2021-07-28 08:15:00,2021-07-28 10:00:00,204.0,2021-07-28 09:00:00,2021-07-28 07:45:00,8,1.0,
FN,2021-07-28 10:30:00,2021-07-28 12:00:00,212.0,2021-07-28 12:00:00,,7,1.0,one_to_one_assignment
TP,2021-07-28 13:15:00,2021-07-28 15:00:00,203.0,2021-07-28 14:45:00,2021-07-28 13:15:00,8,1.0,
FN,2021-07-28 15:45:00,2021-07-28 16:30:00,187.0,2021-07-28 15:45:00,,4,1.0,one_to_one_assignment
TP,2021-07-28 18:00:00,2021-07-28 19:00:00,190.0,2021-07-28 18:00:00,2021-07-28 17:45:00,5,1.0,
TP,2021-07-29 08:30:00,2021-07-29 10:00:00,205.0,2021-07-29 09:45:00,2021-07-29 07:45:00,7,1.0,
FN,2021-07-29 10:30:00,2021-07-29 12:00:00,211.0,2021-07-29 12:00:00,,7,1.0,one_to_one_assignment
TP,2021-07-29 13:30:00,2021-07-29 14:00:00,206.0,2021-07-29 13:45:00,2021-07-29 13:15:00,3,1.0,
FN,2021-07-29 14:30:00,2021-07-29 15:00:00,201.0,2021-07-29 15:00:00,,3,1.0,one_to_one_assignment
TP,2021-07-29 15:45:00,2021-07-29 16:00:00,186.0,2021-07-29 15:45:00,2021-07-29 15:45:00,2,1.0,
TP,2021-07-29 18:45:00,2021-07-29 19:00:00,180.0,2021-07-29 18:45:00,2021-07-29 17:45:00,2,1.0,
TP,2021-07-29 19:45:00,2021-07-29 19:45:00,181.0,2021-07-29 19:45:00,2021-07-29 19:45:00,1,1.0,
TP,2021-07-30 08:15:00,2021-07-30 10:00:00,204.0,2021-07-30 09:00:00,2021-07-30 07:45:00,8,1.0,
FN,2021-07-30 10:30:00,2021-07-30 12:00:00,212.0,2021-07-30 12:00:00,,7,1.0,one_to_one_assignment
TP,2021-07-30 13:15:00,2021-07-30 15:00:00,203.0,2021-07-30 14:45:00,2021-07-30 13:15:00,8,1.0,
FN,2021-07-30 15:45:00,2021-07-30 16:30:00,187.0,2021-07-30 15:45:00,,4,1.0,one_to_one_assignment
TP,2021-07-30 18:00:00,2021-07-30 19:00:00,190.0,2021-07-30 18:00:00,2021-07-30 17:45:00,5,1.0,
TP,2021-08-09 08:30:00,2021-08-09 09:30:00,215.0,2021-08-09 08:45:00,2021-08-09 08:45:00,5,2.0,
FP,2021-04-15 09:45:00,2021-04-15 10:00:00,,,2021-04-15 09:45:00,2,,
FP,2021-04-15 10:30:00,2021-04-15 11:15:00,,,2021-04-15 10:30:00,4,,
FP,2021-04-15 14:45:00,2021-04-15 15:00:00,,,2021-04-15 14:45:00,2,,
FP,2021-04-16 09:45:00,2021-04-16 10:00:00,,,2021-04-16 09:45:00,2,,
FP,2021-04-16 10:30:00,2021-04-16 11:00:00,,,2021-04-16 10:30:00,3,,
FP,2021-04-16 15:00:00,2021-04-16 15:00:00,,,2021-04-16 15:00:00,1,,
FP,2021-04-19 09:00:00,2021-04-19 09:45:00,,,2021-04-19 09:00:00,4,,
FP,2021-04-19 11:45:00,2021-04-19 12:00:00,,,2021-04-19 11:45:00,2,,
FP,2021-04-19 13:15:00,2021-04-19 13:15:00,,,2021-04-19 13:15:00,1,,
FP,2021-04-19 13:45:00,2021-04-19 14:00:00,,,2021-04-19 13:45:00,2,,
FP,2021-04-19 14:45:00,2021-04-19 15:00:00,,,2021-04-19 14:45:00,2,,
FP,2021-04-19 15:45:00,2021-04-19 15:45:00,,,2021-04-19 15:45:00,1,,
FP,2021-04-26 08:30:00,2021-04-26 10:00:00,,,2021-04-26 08:30:00,7,,
FP,2021-04-26 10:30:00,2021-04-26 11:15:00,,,2021-04-26 10:30:00,4,,
FP,2021-05-03 09:45:00,2021-05-03 10:00:00,,,2021-05-03 09:45:00,2,,
FP,2021-05-03 15:30:00,2021-05-03 16:00:00,,,2021-05-03 15:30:00,3,,
FP,2021-05-06 13:15:00,2021-05-06 15:00:00,,,2021-05-06 13:15:00,8,,
FP,2021-05-07 09:45:00,2021-05-07 10:00:00,,,2021-05-07 09:45:00,2,,
FP,2021-05-07 10:30:00,2021-05-07 11:00:00,,,2021-05-07 10:30:00,3,,
FP,2021-05-09 11:30:00,2021-05-09 12:00:00,,,2021-05-09 11:30:00,3,,
FP,2021-05-11 10:30:00,2021-05-11 11:15:00,,,2021-05-11 10:30:00,4,,
FP,2021-05-11 11:45:00,2021-05-11 11:45:00,,,2021-05-11 11:45:00,1,,
FP,2021-05-12 09:45:00,2021-05-12 10:00:00,,,2021-05-12 09:45:00,2,,
FP,2021-05-31 08:45:00,2021-05-31 09:45:00,,,2021-05-31 08:45:00,5,,
FP,2021-05-31 12:00:00,2021-05-31 12:00:00,,,2021-05-31 12:00:00,1,,
FP,2021-05-31 13:30:00,2021-05-31 13:45:00,,,2021-05-31 13:30:00,2,,
FP,2021-05-31 14:45:00,2021-05-31 15:00:00,,,2021-05-31 14:45:00,2,,
FP,2021-06-01 13:15:00,2021-06-01 14:00:00,,,2021-06-01 13:15:00,4,,
FP,2021-06-01 14:45:00,2021-06-01 15:00:00,,,2021-06-01 14:45:00,2,,
FP,2021-06-03 10:30:00,2021-06-03 11:15:00,,,2021-06-03 10:30:00,4,,
FP,2021-06-07 10:30:00,2021-06-07 10:30:00,,,2021-06-07 10:30:00,1,,
FP,2021-06-07 11:15:00,2021-06-07 11:15:00,,,2021-06-07 11:15:00,1,,
FP,2021-06-07 15:00:00,2021-06-07 15:00:00,,,2021-06-07 15:00:00,1,,
FP,2021-06-08 09:00:00,2021-06-08 09:15:00,,,2021-06-08 09:00:00,2,,
FP,2021-06-09 13:30:00,2021-06-09 13:30:00,,,2021-06-09 13:30:00,1,,
FP,2021-06-10 10:45:00,2021-06-10 10:45:00,,,2021-06-10 10:45:00,1,,
FP,2021-06-15 15:30:00,2021-06-15 16:00:00,,,2021-06-15 15:30:00,3,,
FP,2021-06-16 13:15:00,2021-06-16 14:15:00,,,2021-06-16 13:15:00,5,,
FP,2021-06-16 14:45:00,2021-06-16 15:00:00,,,2021-06-16 14:45:00,2,,
FP,2021-06-16 16:45:00,2021-06-16 16:45:00,,,2021-06-16 16:45:00,1,,
FP,2021-06-18 15:00:00,2021-06-18 15:00:00,,,2021-06-18 15:00:00,1,,
FP,2021-06-21 17:00:00,2021-06-21 17:00:00,,,2021-06-21 17:00:00,1,,
FP,2021-06-22 14:45:00,2021-06-22 15:00:00,,,2021-06-22 14:45:00,2,,
FP,2021-06-22 15:30:00,2021-06-22 15:30:00,,,2021-06-22 15:30:00,1,,
FP,2021-06-23 08:15:00,2021-06-23 08:30:00,,,2021-06-23 08:15:00,2,,
FP,2021-06-23 10:00:00,2021-06-23 10:00:00,,,2021-06-23 10:00:00,1,,
FP,2021-06-23 10:45:00,2021-06-23 10:45:00,,,2021-06-23 10:45:00,1,,
FP,2021-06-24 09:30:00,2021-06-24 10:00:00,,,2021-06-24 09:30:00,3,,
FP,2021-06-24 11:00:00,2021-06-24 11:00:00,,,2021-06-24 11:00:00,1,,
FP,2021-06-24 15:00:00,2021-06-24 15:00:00,,,2021-06-24 15:00:00,1,,
FP,2021-06-24 15:30:00,2021-06-24 15:45:00,,,2021-06-24 15:30:00,2,,
FP,2021-06-25 16:30:00,2021-06-25 16:30:00,,,2021-06-25 16:30:00,1,,
FP,2021-07-08 18:00:00,2021-07-08 19:45:00,,,2021-07-08 18:00:00,8,,
FP,2021-07-09 18:00:00,2021-07-09 19:00:00,,,2021-07-09 18:00:00,5,,
FP,2021-07-09 19:30:00,2021-07-09 19:30:00,,,2021-07-09 19:30:00,1,,
FP,2021-07-10 08:45:00,2021-07-10 08:45:00,,,2021-07-10 08:45:00,1,,
FP,2021-07-12 18:00:00,2021-07-12 19:00:00,,,2021-07-12 18:00:00,5,,
FP,2021-07-24 08:30:00,2021-07-24 08:45:00,,,2021-07-24 08:30:00,2,,
FP,2021-08-02 08:15:00,2021-08-02 08:30:00,,,2021-08-02 08:15:00,2,,
FP,2021-08-09 09:30:00,2021-08-09 09:30:00,,,2021-08-09 09:30:00,1,,
