scenario,fraction,prep_minutes,fold,origin,target_time,source_start,tau,eligible_alert_order_for_source,destination_start,delta_per_interval,status,observed_production,source_weight,destination_weight,scenario_label,demand_scope
D,0.1,15,0,2021-04-16 10:15:00,2021-04-16 11:15:00,2021-04-16 11:00:00,176.5,1,2021-04-16 21:15:00,8.863936935614026,applied,3628.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 10:30:00,2021-04-16 11:30:00,2021-04-16 11:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 10:45:00,2021-04-16 11:45:00,2021-04-16 11:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 12:15:00,2021-04-16 13:15:00,2021-04-16 13:00:00,176.5,1,2021-04-16 21:15:00,4.048385750361754,applied,1657.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 12:30:00,2021-04-16 13:30:00,2021-04-16 13:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 12:45:00,2021-04-16 13:45:00,2021-04-16 13:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 13:30:00,2021-04-16 14:30:00,2021-04-16 14:00:00,176.5,1,2021-04-16 21:15:00,4.40753644758757,applied,1804.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 13:45:00,2021-04-16 14:45:00,2021-04-16 14:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 14:30:00,2021-04-16 15:30:00,2021-04-16 15:00:00,176.5,1,2021-04-16 20:15:00,1.5172284556274285,applied,621.0,3.0,2.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 14:45:00,2021-04-16 15:45:00,2021-04-16 15:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 15:15:00,2021-04-16 16:15:00,2021-04-16 16:00:00,176.5,1,2021-04-16 20:15:00,2.5042820724929378,applied,1025.0,3.0,2.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 15:30:00,2021-04-16 16:30:00,2021-04-16 16:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-17 07:15:00,2021-04-17 08:15:00,2021-04-17 08:00:00,176.5,1,,,invalid_observed_source_production,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-17 07:30:00,2021-04-17 08:30:00,2021-04-17 08:00:00,176.5,2,,,invalid_observed_source_production,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 07:30:00,2021-04-19 08:30:00,2021-04-19 08:00:00,176.5,1,2021-04-19 21:15:00,2.5409301028221023,applied,1040.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 07:45:00,2021-04-19 08:45:00,2021-04-19 08:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 08:15:00,2021-04-19 09:15:00,2021-04-19 09:00:00,176.5,1,2021-04-19 21:15:00,2.086494526740457,applied,854.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 08:30:00,2021-04-19 09:30:00,2021-04-19 09:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 08:45:00,2021-04-19 09:45:00,2021-04-19 09:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 09:30:00,2021-04-19 10:30:00,2021-04-19 10:00:00,176.5,1,2021-04-19 21:15:00,2.2306434460351725,applied,913.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 09:45:00,2021-04-19 10:45:00,2021-04-19 10:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 10:15:00,2021-04-19 11:15:00,2021-04-19 11:00:00,176.5,1,2021-04-19 21:15:00,4.84731281153755,applied,1984.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 10:30:00,2021-04-19 11:30:00,2021-04-19 11:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 10:45:00,2021-04-19 11:45:00,2021-04-19 11:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 12:15:00,2021-04-19 13:15:00,2021-04-19 13:00:00,176.5,1,2021-04-19 21:15:00,1.7542190517560283,applied,718.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 12:30:00,2021-04-19 13:30:00,2021-04-19 13:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 12:45:00,2021-04-19 13:45:00,2021-04-19 13:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 13:15:00,2021-04-19 14:15:00,2021-04-19 14:00:00,176.5,1,2021-04-19 21:15:00,10.141731593090912,applied,4151.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 13:30:00,2021-04-19 14:30:00,2021-04-19 14:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 13:45:00,2021-04-19 14:45:00,2021-04-19 14:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 14:30:00,2021-04-19 15:30:00,2021-04-19 15:00:00,176.5,1,2021-04-19 20:15:00,2.9196264162234735,applied,1195.0,3.0,2.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 14:45:00,2021-04-19 15:45:00,2021-04-19 15:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 15:30:00,2021-04-19 16:30:00,2021-04-19 16:00:00,176.5,1,2021-04-19 20:15:00,2.687522224138762,applied,1100.0,3.0,2.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-19 18:15:00,2021-04-19 19:15:00,2021-04-19 19:00:00,176.5,1,2021-04-19 20:15:00,3.3789483963490072,applied,1383.0,3.0,2.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-20 08:15:00,2021-04-20 09:15:00,2021-04-20 09:00:00,176.5,1,2021-04-20 21:15:00,1.0408040613482843,applied,426.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-20 08:30:00,2021-04-20 09:30:00,2021-04-20 09:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-20 08:45:00,2021-04-20 09:45:00,2021-04-20 09:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-20 09:30:00,2021-04-20 10:30:00,2021-04-20 10:00:00,176.5,1,2021-04-20 21:15:00,2.975820062728193,applied,1218.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-20 09:45:00,2021-04-20 10:45:00,2021-04-20 10:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-20 10:15:00,2021-04-20 11:15:00,2021-04-20 11:00:00,176.5,1,2021-04-20 21:15:00,2.106040142916012,applied,862.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-20 10:45:00,2021-04-20 11:45:00,2021-04-20 11:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-20 12:15:00,2021-04-20 13:15:00,2021-04-20 13:00:00,176.5,1,2021-04-20 21:15:00,3.554858941928999,applied,1455.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-20 12:30:00,2021-04-20 13:30:00,2021-04-20 13:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-20 12:45:00,2021-04-20 13:45:00,2021-04-20 13:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-20 13:15:00,2021-04-20 14:15:00,2021-04-20 14:00:00,176.5,1,2021-04-20 21:15:00,3.3007659316467888,applied,1351.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-20 13:30:00,2021-04-20 14:30:00,2021-04-20 14:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-20 13:45:00,2021-04-20 14:45:00,2021-04-20 14:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-20 14:30:00,2021-04-20 15:30:00,2021-04-20 15:00:00,176.5,1,2021-04-20 20:15:00,2.8903079919601415,applied,1183.0,3.0,2.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-20 14:45:00,2021-04-20 15:45:00,2021-04-20 15:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-21 07:15:00,2021-04-21 08:15:00,2021-04-21 08:00:00,176.5,1,2021-04-21 21:15:00,1.7688782638876945,applied,724.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-21 07:30:00,2021-04-21 08:30:00,2021-04-21 08:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-21 07:45:00,2021-04-21 08:45:00,2021-04-21 08:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-21 08:15:00,2021-04-21 09:15:00,2021-04-21 09:00:00,176.5,1,2021-04-21 21:15:00,1.558762890000482,applied,638.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-21 08:30:00,2021-04-21 09:30:00,2021-04-21 09:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-21 08:45:00,2021-04-21 09:45:00,2021-04-21 09:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-21 09:30:00,2021-04-21 10:30:00,2021-04-21 10:00:00,176.5,1,2021-04-21 21:15:00,2.9782632647501375,applied,1219.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-21 09:45:00,2021-04-21 10:45:00,2021-04-21 10:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-21 10:30:00,2021-04-21 11:30:00,2021-04-21 11:00:00,176.5,1,2021-04-21 21:15:00,3.598836578323997,applied,1473.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-21 10:45:00,2021-04-21 11:45:00,2021-04-21 11:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-21 12:15:00,2021-04-21 13:15:00,2021-04-21 13:00:00,176.5,1,2021-04-21 21:15:00,3.4253692347659497,applied,1402.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-21 12:30:00,2021-04-21 13:30:00,2021-04-21 13:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-21 12:45:00,2021-04-21 13:45:00,2021-04-21 13:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-21 14:45:00,2021-04-21 15:45:00,2021-04-21 15:00:00,176.5,1,2021-04-21 20:15:00,2.091380930784346,applied,856.0,3.0,2.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-22 07:15:00,2021-04-22 08:15:00,2021-04-22 08:00:00,176.5,1,2021-04-22 21:15:00,1.7786510719754718,applied,728.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-22 07:30:00,2021-04-22 08:30:00,2021-04-22 08:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-22 07:45:00,2021-04-22 08:45:00,2021-04-22 08:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-22 08:15:00,2021-04-22 09:15:00,2021-04-22 09:00:00,176.5,1,2021-04-22 21:15:00,1.7395598396243626,applied,712.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-22 08:30:00,2021-04-22 09:30:00,2021-04-22 09:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-22 08:45:00,2021-04-22 09:45:00,2021-04-22 09:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-22 09:30:00,2021-04-22 10:30:00,2021-04-22 10:00:00,176.5,1,2021-04-22 21:15:00,2.922069618245418,applied,1196.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-22 09:45:00,2021-04-22 10:45:00,2021-04-22 10:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-22 10:30:00,2021-04-22 11:30:00,2021-04-22 11:00:00,176.5,1,2021-04-22 21:15:00,2.7632614868190366,applied,1131.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-22 10:45:00,2021-04-22 11:45:00,2021-04-22 11:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-22 12:15:00,2021-04-22 13:15:00,2021-04-22 13:00:00,176.5,1,2021-04-22 21:15:00,4.089920184734807,applied,1674.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-22 12:30:00,2021-04-22 13:30:00,2021-04-22 13:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-22 12:45:00,2021-04-22 13:45:00,2021-04-22 13:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-22 14:45:00,2021-04-22 15:45:00,2021-04-22 15:00:00,176.5,1,2021-04-22 20:15:00,2.6533173958315417,applied,1086.0,3.0,2.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-23 07:15:00,2021-04-23 08:15:00,2021-04-23 08:00:00,176.5,1,2021-04-23 21:15:00,1.3975115565521563,applied,572.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-23 07:30:00,2021-04-23 08:30:00,2021-04-23 08:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-23 07:45:00,2021-04-23 08:45:00,2021-04-23 08:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-23 08:15:00,2021-04-23 09:15:00,2021-04-23 09:00:00,176.5,1,2021-04-23 21:15:00,3.144401002242352,applied,1287.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-23 08:30:00,2021-04-23 09:30:00,2021-04-23 09:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-23 08:45:00,2021-04-23 09:45:00,2021-04-23 09:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-23 09:30:00,2021-04-23 10:30:00,2021-04-23 10:00:00,176.5,1,2021-04-23 21:15:00,0.42023074777442465,applied,172.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-23 09:45:00,2021-04-23 10:45:00,2021-04-23 10:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-23 10:15:00,2021-04-23 11:15:00,2021-04-23 11:00:00,176.5,1,2021-04-23 21:15:00,3.7576447097503785,applied,1538.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-23 10:30:00,2021-04-23 11:30:00,2021-04-23 11:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-23 10:45:00,2021-04-23 11:45:00,2021-04-23 11:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-23 12:15:00,2021-04-23 13:15:00,2021-04-23 13:00:00,176.5,1,2021-04-23 21:15:00,1.8152991023046365,applied,743.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-23 12:30:00,2021-04-23 13:30:00,2021-04-23 13:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-23 12:45:00,2021-04-23 13:45:00,2021-04-23 13:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
