scenario,fraction,prep_minutes,fold,origin,target_time,source_start,tau,eligible_alert_order_for_source,destination_start,delta_per_interval,status,observed_production,source_weight,destination_weight,alarm_source,horizon,scenario_label
D,0.2,30,0,2021-04-17 04:45:00,2021-04-17 08:45:00,2021-04-17 08:00:00,176.0,2.0,,,invalid_observed_source_production,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-17 05:00:00,2021-04-17 09:00:00,2021-04-17 08:00:00,176.0,3.0,,,invalid_observed_source_production,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-17 05:45:00,2021-04-17 09:45:00,2021-04-17 09:00:00,176.0,1.0,,,invalid_observed_source_production,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-17 06:45:00,2021-04-17 10:45:00,2021-04-17 10:00:00,176.0,1.0,,,invalid_observed_source_production,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-19 05:00:00,2021-04-19 09:00:00,2021-04-19 08:00:00,176.0,1.0,2021-04-19 21:15:00,5.072423474636402,applied,1040.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-19 08:00:00,2021-04-19 12:00:00,2021-04-19 11:00:00,176.0,1.0,2021-04-19 21:15:00,9.676623243921751,applied,1984.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-19 09:15:00,2021-04-19 13:15:00,2021-04-19 13:00:00,176.0,1.0,2021-04-19 21:15:00,3.5019231296047466,applied,718.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-19 09:30:00,2021-04-19 13:30:00,2021-04-19 13:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-19 09:45:00,2021-04-19 13:45:00,2021-04-19 13:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-19 10:00:00,2021-04-19 14:00:00,2021-04-19 13:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-19 10:15:00,2021-04-19 14:15:00,2021-04-19 14:00:00,176.0,1.0,2021-04-19 21:15:00,20.245797926168947,applied,4151.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-19 10:30:00,2021-04-19 14:30:00,2021-04-19 14:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-19 10:45:00,2021-04-19 14:45:00,2021-04-19 14:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-19 11:00:00,2021-04-19 15:00:00,2021-04-19 14:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-19 11:30:00,2021-04-19 15:30:00,2021-04-19 15:00:00,176.0,1.0,2021-04-19 20:15:00,5.828409665567789,applied,1195.0,3.0,2.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-19 11:45:00,2021-04-19 15:45:00,2021-04-19 15:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-19 12:00:00,2021-04-19 16:00:00,2021-04-19 15:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-19 12:15:00,2021-04-19 16:15:00,2021-04-19 16:00:00,176.0,1.0,2021-04-19 20:15:00,5.365063290480809,applied,1100.0,3.0,2.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-20 09:15:00,2021-04-20 13:15:00,2021-04-20 13:00:00,176.0,1.0,2021-04-20 21:15:00,7.096515534226889,applied,1455.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-20 09:30:00,2021-04-20 13:30:00,2021-04-20 13:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-20 09:45:00,2021-04-20 13:45:00,2021-04-20 13:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-20 10:00:00,2021-04-20 14:00:00,2021-04-20 13:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-20 10:15:00,2021-04-20 14:15:00,2021-04-20 14:00:00,176.0,1.0,2021-04-20 21:15:00,6.58927318676325,applied,1351.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-20 10:30:00,2021-04-20 14:30:00,2021-04-20 14:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-20 10:45:00,2021-04-20 14:45:00,2021-04-20 14:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-20 11:00:00,2021-04-20 15:00:00,2021-04-20 14:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-20 11:30:00,2021-04-20 15:30:00,2021-04-20 15:00:00,176.0,1.0,2021-04-20 20:15:00,5.769881702398907,applied,1183.0,3.0,2.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-20 11:45:00,2021-04-20 15:45:00,2021-04-20 15:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-20 12:00:00,2021-04-20 16:00:00,2021-04-20 15:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-20 12:15:00,2021-04-20 16:15:00,2021-04-20 16:00:00,176.0,1.0,2021-04-20 20:15:00,10.63257997568015,applied,2180.0,3.0,2.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-20 12:30:00,2021-04-20 16:30:00,2021-04-20 16:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 04:15:00,2021-04-21 08:15:00,2021-04-21 08:00:00,176.0,1.0,2021-04-21 21:15:00,3.5311871111891877,applied,724.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 04:30:00,2021-04-21 08:30:00,2021-04-21 08:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 04:45:00,2021-04-21 08:45:00,2021-04-21 08:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 05:00:00,2021-04-21 09:00:00,2021-04-21 08:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 05:15:00,2021-04-21 09:15:00,2021-04-21 09:00:00,176.0,1.0,2021-04-21 21:15:00,3.1117367084788694,applied,638.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 05:30:00,2021-04-21 09:30:00,2021-04-21 09:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 05:45:00,2021-04-21 09:45:00,2021-04-21 09:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 06:00:00,2021-04-21 10:00:00,2021-04-21 09:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 06:30:00,2021-04-21 10:30:00,2021-04-21 10:00:00,176.0,1.0,2021-04-21 21:15:00,5.945465591905552,applied,1219.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 06:45:00,2021-04-21 10:45:00,2021-04-21 10:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 07:00:00,2021-04-21 11:00:00,2021-04-21 10:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 07:15:00,2021-04-21 11:15:00,2021-04-21 11:00:00,176.0,1.0,2021-04-21 21:15:00,7.184307478980211,applied,1473.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 07:30:00,2021-04-21 11:30:00,2021-04-21 11:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 07:45:00,2021-04-21 11:45:00,2021-04-21 11:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 08:00:00,2021-04-21 12:00:00,2021-04-21 11:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 09:15:00,2021-04-21 13:15:00,2021-04-21 13:00:00,176.0,1.0,2021-04-21 21:15:00,6.838017030230995,applied,1402.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 09:30:00,2021-04-21 13:30:00,2021-04-21 13:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 09:45:00,2021-04-21 13:45:00,2021-04-21 13:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 10:00:00,2021-04-21 14:00:00,2021-04-21 13:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 10:15:00,2021-04-21 14:15:00,2021-04-21 14:00:00,176.0,1.0,2021-04-21 21:15:00,10.539910700662753,applied,2161.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 10:30:00,2021-04-21 14:30:00,2021-04-21 14:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 10:45:00,2021-04-21 14:45:00,2021-04-21 14:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 11:00:00,2021-04-21 15:00:00,2021-04-21 14:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 11:30:00,2021-04-21 15:30:00,2021-04-21 15:00:00,176.0,1.0,2021-04-21 20:15:00,4.174994706046884,applied,856.0,3.0,2.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 11:45:00,2021-04-21 15:45:00,2021-04-21 15:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 12:00:00,2021-04-21 16:00:00,2021-04-21 15:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 12:15:00,2021-04-21 16:15:00,2021-04-21 16:00:00,176.0,1.0,2021-04-21 20:15:00,13.7296846933668,applied,2815.0,3.0,2.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-21 12:30:00,2021-04-21 16:30:00,2021-04-21 16:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 04:15:00,2021-04-22 08:15:00,2021-04-22 08:00:00,176.0,1.0,2021-04-22 21:15:00,3.5506964322454815,applied,728.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 04:30:00,2021-04-22 08:30:00,2021-04-22 08:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 04:45:00,2021-04-22 08:45:00,2021-04-22 08:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 05:00:00,2021-04-22 09:00:00,2021-04-22 08:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 05:15:00,2021-04-22 09:15:00,2021-04-22 09:00:00,176.0,1.0,2021-04-22 21:15:00,3.4726591480203055,applied,712.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 05:30:00,2021-04-22 09:30:00,2021-04-22 09:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 05:45:00,2021-04-22 09:45:00,2021-04-22 09:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 06:00:00,2021-04-22 10:00:00,2021-04-22 09:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 06:15:00,2021-04-22 10:15:00,2021-04-22 10:00:00,176.0,1.0,2021-04-22 21:15:00,5.8332869958318625,applied,1196.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 06:30:00,2021-04-22 10:30:00,2021-04-22 10:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 06:45:00,2021-04-22 10:45:00,2021-04-22 10:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 07:00:00,2021-04-22 11:00:00,2021-04-22 10:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 07:15:00,2021-04-22 11:15:00,2021-04-22 11:00:00,176.0,1.0,2021-04-22 21:15:00,5.516260528667087,applied,1131.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 07:30:00,2021-04-22 11:30:00,2021-04-22 11:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 07:45:00,2021-04-22 11:45:00,2021-04-22 11:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 08:00:00,2021-04-22 12:00:00,2021-04-22 11:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 09:15:00,2021-04-22 13:15:00,2021-04-22 13:00:00,176.0,1.0,2021-04-22 21:15:00,8.164650862058977,applied,1674.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 09:30:00,2021-04-22 13:30:00,2021-04-22 13:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 09:45:00,2021-04-22 13:45:00,2021-04-22 13:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 10:00:00,2021-04-22 14:00:00,2021-04-22 13:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 10:15:00,2021-04-22 14:15:00,2021-04-22 14:00:00,176.0,1.0,2021-04-22 21:15:00,7.545229918521648,applied,1547.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 10:30:00,2021-04-22 14:30:00,2021-04-22 14:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 10:45:00,2021-04-22 14:45:00,2021-04-22 14:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 11:00:00,2021-04-22 15:00:00,2021-04-22 14:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 11:30:00,2021-04-22 15:30:00,2021-04-22 15:00:00,176.0,1.0,2021-04-22 20:15:00,5.296780666783781,applied,1086.0,3.0,2.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 11:45:00,2021-04-22 15:45:00,2021-04-22 15:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 12:00:00,2021-04-22 16:00:00,2021-04-22 15:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-22 12:15:00,2021-04-22 16:15:00,2021-04-22 16:00:00,176.0,1.0,2021-04-22 20:15:00,7.798851092253468,applied,1599.0,3.0,2.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-23 04:15:00,2021-04-23 08:15:00,2021-04-23 08:00:00,176.0,1.0,2021-04-23 21:15:00,2.789832911050021,applied,572.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
