analysis,horizon,alarm_source,prep_minutes,scenario,fraction,month,monthly_max_before,monthly_max_after,monthly_max_change,weighted_load_change,new_peak_positions,evaluated_intervals,full_calendar_intervals,observed_fraction_of_full_month,weight_basis,scenario_label
A5,16,perfect_information_reference,60,D,0.2,2021-07,217.0,213.3953007084663,-3.6046992915337057,-677.1102972315431,0,1230,2976,0.41330645161290325,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,60,D,0.2,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,60,C,0.2,2021-04,182.0,176.0,-6.0,-1886.0000000000005,0,1546,2880,0.5368055555555555,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,60,C,0.2,2021-05,199.0,174.0,-25.0,-6066.799999999999,0,1481,2976,0.49764784946236557,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,60,C,0.2,2021-06,208.0,177.0,-31.0,-21388.800000000003,0,2435,2880,0.8454861111111112,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,60,C,0.2,2021-07,217.0,175.0,-42.0,-27586.4,0,1230,2976,0.41330645161290325,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,60,C,0.2,2021-08,215.0,197.0,-18.0,-308.79999999999995,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,30,D,0.2,2021-04,182.0,177.0060950671458,-4.993904932854207,-430.88799499414483,0,1569,2880,0.5447916666666667,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,30,D,0.2,2021-05,199.0,196.9281646853912,-2.0718353146087907,-333.60077212556075,0,1492,2976,0.5013440860215054,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,30,D,0.2,2021-06,208.0,207.19706684911696,-0.8029331508830353,-708.5037515994741,0,2431,2880,0.8440972222222223,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,30,D,0.2,2021-07,217.0,213.4074893588157,-3.5925106411843046,-1192.1333758752319,0,1253,2976,0.4210349462365591,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,30,D,0.2,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,30,C,0.2,2021-04,182.0,172.0,-10.0,-20448.0,0,1569,2880,0.5447916666666667,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,30,C,0.2,2021-05,199.0,184.0,-15.0,-14651.9,0,1492,2976,0.5013440860215054,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,30,C,0.2,2021-06,208.0,180.0,-28.0,-35835.600000000006,0,2431,2880,0.8440972222222223,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,30,C,0.2,2021-07,217.0,206.0,-11.0,-28982.0,0,1253,2976,0.4210349462365591,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,30,C,0.2,2021-08,215.0,215.0,0.0,-66.0,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,60,D,0.2,2021-04,182.0,182.0,0.0,0.0,0,1569,2880,0.5447916666666667,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,60,D,0.2,2021-05,199.0,199.0,0.0,0.0,0,1492,2976,0.5013440860215054,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,60,D,0.2,2021-06,208.0,208.0,0.0,0.0,0,2431,2880,0.8440972222222223,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,60,D,0.2,2021-07,217.0,217.0,0.0,0.0,0,1253,2976,0.4210349462365591,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,60,D,0.2,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,60,C,0.2,2021-04,182.0,182.0,0.0,0.0,0,1569,2880,0.5447916666666667,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,60,C,0.2,2021-05,199.0,199.0,0.0,0.0,0,1492,2976,0.5013440860215054,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,60,C,0.2,2021-06,208.0,208.0,0.0,0.0,0,2431,2880,0.8440972222222223,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,60,C,0.2,2021-07,217.0,217.0,0.0,0.0,0,1253,2976,0.4210349462365591,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,original_operational,60,C,0.2,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,30,D,0.2,2021-04,182.0,179.0,-3.0,-13.090676433577826,0,1569,2880,0.5447916666666667,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,30,D,0.2,2021-05,199.0,196.9281646853912,-2.0718353146087907,-63.40597887349918,0,1492,2976,0.5013440860215054,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,30,D,0.2,2021-06,208.0,207.19706684911696,-0.8029331508830353,-265.2980345312131,0,2431,2880,0.8440972222222223,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,30,D,0.2,2021-07,217.0,213.4074893588157,-3.5925106411843046,-407.67185971700064,0,1253,2976,0.4210349462365591,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,30,D,0.2,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,30,C,0.2,2021-04,182.0,179.0,-3.0,-564.8000000000001,0,1569,2880,0.5447916666666667,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,30,C,0.2,2021-05,199.0,181.0,-18.0,-3509.6,0,1492,2976,0.5013440860215054,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,30,C,0.2,2021-06,208.0,204.0,-4.0,-13220.400000000001,0,2431,2880,0.8440972222222223,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,30,C,0.2,2021-07,217.0,206.0,-11.0,-18906.8,0,1253,2976,0.4210349462365591,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,30,C,0.2,2021-08,215.0,197.0,-18.0,-308.79999999999995,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,60,D,0.2,2021-04,182.0,182.0,0.0,0.0,0,1569,2880,0.5447916666666667,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,60,D,0.2,2021-05,199.0,199.0,0.0,0.0,0,1492,2976,0.5013440860215054,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,60,D,0.2,2021-06,208.0,208.0,0.0,0.0,0,2431,2880,0.8440972222222223,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,60,D,0.2,2021-07,217.0,217.0,0.0,0.0,0,1253,2976,0.4210349462365591,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,60,D,0.2,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,60,C,0.2,2021-04,182.0,182.0,0.0,0.0,0,1569,2880,0.5447916666666667,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,60,C,0.2,2021-05,199.0,199.0,0.0,0.0,0,1492,2976,0.5013440860215054,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,60,C,0.2,2021-06,208.0,208.0,0.0,0.0,0,2431,2880,0.8440972222222223,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,60,C,0.2,2021-07,217.0,217.0,0.0,0.0,0,1253,2976,0.4210349462365591,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,4,perfect_information_reference,60,C,0.2,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
