segment_id,source,label,start,end,n_samples,duration_seconds
39,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:02:23.876,2022-07-12 00:02:27.376,36,3.6
40,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:02:31.936,2022-07-12 00:02:34.136,23,2.3000000000000003
41,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:02:40.000,2022-07-12 00:02:42.100,22,2.2
42,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:02:47.868,2022-07-12 00:02:48.868,11,1.1
43,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:02:57.334,2022-07-12 00:03:02.234,50,5.0
44,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:03:04.000,2022-07-12 00:03:08.900,50,5.0
45,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:03:12.129,2022-07-12 00:03:15.629,36,3.6
46,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:03:20.215,2022-07-12 00:03:22.715,26,2.6
47,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:03:28.182,2022-07-12 00:03:29.282,12,1.2000000000000002
48,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:03:44.676,2022-07-12 00:03:49.576,50,5.0
49,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:03:52.544,2022-07-12 00:03:57.444,50,5.0
50,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:04:00.140,2022-07-12 00:04:04.240,42,4.199999999999999
51,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:04:08.213,2022-07-12 00:04:10.813,27,2.7
52,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:04:16.224,2022-07-12 00:04:17.424,13,1.3
53,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:04:23.985,2022-07-12 00:04:24.085,2,0.2
54,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:04:25.827,2022-07-12 00:04:30.727,50,5.0
55,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:04:32.537,2022-07-12 00:04:37.437,50,5.0
56,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:04:40.416,2022-07-12 00:04:44.116,38,3.8000000000000003
57,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:04:48.455,2022-07-12 00:04:52.055,37,3.7
58,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:04:56.641,2022-07-12 00:04:58.941,24,2.4
59,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:05:04.636,2022-07-12 00:05:05.736,12,1.2000000000000002
60,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:05:12.566,2022-07-12 00:05:13.666,12,1.2000000000000002
61,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:05:20.498,2022-07-12 00:05:20.498,1,0.1
62,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:05:22.496,2022-07-12 00:05:27.396,50,5.0
63,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:05:29.007,2022-07-12 00:05:33.907,50,5.0
64,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:05:36.499,2022-07-12 00:05:40.699,43,4.3
65,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:05:44.604,2022-07-12 00:05:47.404,29,2.9
66,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:05:52.492,2022-07-12 00:05:54.092,17,1.7000000000000002
67,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:06:00.487,2022-07-12 00:06:00.887,5,0.5
68,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:06:02.560,2022-07-12 00:06:07.460,50,5.0
69,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:06:09.177,2022-07-12 00:06:14.077,50,5.0
70,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:06:16.934,2022-07-12 00:06:20.834,40,4.0
71,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:06:25.547,2022-07-12 00:06:27.647,22,2.2
72,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:06:29.384,2022-07-12 00:06:34.284,50,5.0
73,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:06:36.231,2022-07-12 00:06:41.131,50,5.0
74,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:06:43.040,2022-07-12 00:06:47.940,50,5.0
75,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:06:49.646,2022-07-12 00:06:54.546,50,5.0
76,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:06:57.798,2022-07-12 00:07:02.698,50,5.0
77,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:07:04.844,2022-07-12 00:07:09.744,50,5.0
78,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:07:12.647,2022-07-12 00:07:17.547,50,5.0
79,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:07:19.348,2022-07-12 00:07:24.248,50,5.0
80,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:07:25.971,2022-07-12 00:07:30.871,50,5.0
81,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:07:32.847,2022-07-12 00:07:37.747,50,5.0
82,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:07:39.560,2022-07-12 00:07:44.460,50,5.0
83,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:07:46.324,2022-07-12 00:07:51.224,50,5.0
84,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:07:52.879,2022-07-12 00:07:57.779,50,5.0
85,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:07:59.767,2022-07-12 00:08:04.667,50,5.0
86,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:08:06.337,2022-07-12 00:08:11.237,50,5.0
87,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:08:13.092,2022-07-12 00:08:17.992,50,5.0
88,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:08:26.424,2022-07-12 00:08:31.324,50,5.0
89,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:08:33.206,2022-07-12 00:08:38.106,50,5.0
90,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:08:39.956,2022-07-12 00:08:44.856,50,5.0
91,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:08:46.662,2022-07-12 00:08:51.562,50,5.0
92,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:08:53.480,2022-07-12 00:08:58.380,50,5.0
93,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:09:00.084,2022-07-12 00:09:04.984,50,5.0
94,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:09:06.833,2022-07-12 00:09:11.733,50,5.0
95,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:09:13.436,2022-07-12 00:09:18.336,50,5.0
96,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:09:20.084,2022-07-12 00:09:24.984,50,5.0
97,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:09:28.152,2022-07-12 00:09:33.052,50,5.0
98,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:09:38.862,2022-07-12 00:09:39.962,12,1.2000000000000002
99,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:09:41.691,2022-07-12 00:09:46.591,50,5.0
100,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:09:48.366,2022-07-12 00:09:53.266,50,5.0
101,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:09:55.827,2022-07-12 00:09:59.927,42,4.199999999999999
102,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:10:03.867,2022-07-12 00:10:06.867,31,3.1
103,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:10:11.896,2022-07-12 00:10:13.396,16,1.6
104,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:10:19.799,2022-07-12 00:10:20.199,5,0.5
105,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:10:28.656,2022-07-12 00:10:33.556,50,5.0
106,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:10:35.872,2022-07-12 00:10:40.372,46,4.6
107,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:10:43.851,2022-07-12 00:10:47.051,33,3.3000000000000003
108,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:10:51.896,2022-07-12 00:10:54.096,23,2.3000000000000003
109,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:10:59.756,2022-07-12 00:11:00.856,12,1.2000000000000002
110,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:11:09.294,2022-07-12 00:11:14.194,50,5.0
111,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:11:16.040,2022-07-12 00:11:20.840,49,4.8999999999999995
112,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:11:24.056,2022-07-12 00:11:27.556,36,3.6
113,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:11:32.266,2022-07-12 00:11:34.466,23,2.3000000000000003
114,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:11:40.267,2022-07-12 00:11:40.967,8,0.7999999999999999
115,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:11:49.526,2022-07-12 00:11:54.426,50,5.0
116,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:11:56.244,2022-07-12 00:12:01.144,50,5.0
117,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:12:04.143,2022-07-12 00:12:07.843,38,3.8000000000000003
118,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:12:12.164,2022-07-12 00:12:14.564,25,2.5
119,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:12:20.177,2022-07-12 00:12:22.477,24,2.4
120,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:12:28.175,2022-07-12 00:12:29.275,12,1.2000000000000002
121,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:12:38.192,2022-07-12 00:12:43.092,50,5.0
122,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:12:44.747,2022-07-12 00:12:49.647,50,5.0
123,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:12:52.064,2022-07-12 00:12:56.464,45,4.5
124,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:13:00.089,2022-07-12 00:13:03.389,34,3.4
125,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:13:07.971,2022-07-12 00:13:11.271,34,3.4
126,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:13:15.873,2022-07-12 00:13:17.973,22,2.2
127,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:13:23.836,2022-07-12 00:13:24.636,9,0.9
128,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:13:33.336,2022-07-12 00:13:38.236,50,5.0
129,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:13:39.886,2022-07-12 00:13:44.786,50,5.0
130,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:13:47.957,2022-07-12 00:13:51.557,37,3.7
131,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:13:55.976,2022-07-12 00:13:58.176,23,2.3000000000000003
132,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:14:03.904,2022-07-12 00:14:04.804,10,1.0
133,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:14:13.584,2022-07-12 00:14:18.484,50,5.0
134,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:14:20.310,2022-07-12 00:14:25.210,50,5.0
135,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:14:27.908,2022-07-12 00:14:31.808,40,4.0
136,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:14:35.936,2022-07-12 00:14:38.536,27,2.7
137,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:14:43.837,2022-07-12 00:14:46.437,27,2.7
138,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:14:51.621,2022-07-12 00:14:53.221,17,1.7000000000000002
139,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:14:59.657,2022-07-12 00:14:59.757,2,0.2
140,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:15:01.577,2022-07-12 00:15:06.477,50,5.0
141,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:15:08.384,2022-07-12 00:15:13.284,50,5.0
142,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:15:15.740,2022-07-12 00:15:19.840,42,4.199999999999999
143,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:15:23.669,2022-07-12 00:15:26.469,29,2.9
144,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:15:31.742,2022-07-12 00:15:33.442,18,1.8
145,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:15:39.684,2022-07-12 00:15:40.284,7,0.7
146,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:15:41.948,2022-07-12 00:15:46.848,50,5.0
147,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:15:48.726,2022-07-12 00:15:53.626,50,5.0
148,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:15:55.785,2022-07-12 00:16:00.485,48,4.8
149,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:16:03.804,2022-07-12 00:16:07.304,36,3.6
150,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:16:11.955,2022-07-12 00:16:13.855,20,2.0
151,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:16:19.994,2022-07-12 00:16:20.594,7,0.7
152,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:16:29.364,2022-07-12 00:16:34.264,50,5.0
153,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:16:36.267,2022-07-12 00:16:41.067,49,4.8999999999999995
154,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:16:44.325,2022-07-12 00:16:47.725,35,3.5
155,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:16:52.351,2022-07-12 00:16:54.451,22,2.2
156,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:17:00.325,2022-07-12 00:17:01.125,9,0.9
157,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:17:09.540,2022-07-12 00:17:14.440,50,5.0
158,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:17:16.447,2022-07-12 00:17:21.147,48,4.8
159,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:17:24.527,2022-07-12 00:17:29.227,48,4.8
160,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:17:32.480,2022-07-12 00:17:35.880,35,3.5
161,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:17:40.504,2022-07-12 00:17:42.704,23,2.3000000000000003
162,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:17:48.487,2022-07-12 00:17:49.687,13,1.3
163,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:17:56.513,2022-07-12 00:17:56.613,2,0.2
164,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:18:04.588,2022-07-12 00:18:04.588,1,0.1
165,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:18:06.304,2022-07-12 00:18:11.204,50,5.0
166,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:18:13.063,2022-07-12 00:18:17.963,50,5.0
167,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:18:20.724,2022-07-12 00:18:24.624,40,4.0
